id,ra,dec,p,p_er,evpa,evpa_er,q,q_er,u,u_er,dist,dist_low,dist_up,Rmag1,date_obs
IT_1627-0144660,293.94574,72.76114,0.01379,0.00165,-16.50903,3.48326,0.01156,0.00162,-0.00751,0.0017,1068.84175825618,1053.15772798051,1084.99123061529,13.96,2019
IT_1617-0135772,294.51535,71.7818,0.01934,0.00192,-28.76237,2.80462,0.01038,0.00188,-0.01631,0.00194,717.549378371244,708.491239091175,726.837854678432,13.98,2019
IT_1618-0137424,294.50229,71.88965,0.01583,0.00143,-25.21801,2.55902,0.01008,0.00137,-0.0122,0.00148,1947.32915542934,1870.00809410536,2031.1630294224,13.98,2019
IT_1630-0130400,294.10529,73.03027,0.00563,0.00186,-5.03638,9.83809,0.00554,0.00186,-9.8E-4,0.00194,561.261079222697,557.058473779453,565.526427936162,13.98,2019
IT_1628-0142946,293.78375,72.85976,0.003,0.00187,29.87285,17.3961,0.00151,0.0018,0.0026,0.00189,360.485573255618,358.475310249889,362.518103589103,13.98,2019
IT_1622-0144797,293.24704,72.29308,0.00752,0.00204,-35.02728,7.59359,0.00256,0.00198,-0.00706,0.00205,6603.84332316143,6039.98980154726,7270.37669325999,13.98,2019
IT_1626-0144517,296.45859,72.62193,0.01504,0.00172,-34.65157,3.179,0.00531,0.00166,-0.01406,0.00173,1277.07931931812,1253.08029079529,1301.99784555245,13.98,2019
IT_1619-0138992,294.39575,71.98708,0.01877,0.00161,-19.15797,2.48955,0.01472,0.00158,-0.01163,0.00166,3618.13524497963,3410.85409490388,3851.18882697006,13.98,2019
1620-0141071,295.27986,72.01198,0.01687,0.00614,-23.100000381469727,11.5,0.01168,0.00646,-0.01217,0.00583,3665.0,3514.0,3829.0,13.98,2016
1618-0137815,295.32164,71.86736,0.01934,0.00337,-25.799999237060547,5.099999904632568,0.012,0.00356,-0.01516,0.00324,1499.0,1460.0,1540.0,13.99,2016
IT_1627-0145240,295.14056,72.7003,0.00995,0.00247,-32.31892,7.1224,0.00426,0.00248,-0.00899,0.00247,640.810290420426,630.866514614741,651.06670588378,14.0,2019
IT_1625-0143638,296.24396,72.56922,0.01285,0.00163,-28.08589,3.58206,0.00715,0.00158,-0.01067,0.00166,2178.54142005057,2109.88536202224,2251.71472968451,14.0,2019
IT_1628-0143351,294.65381,72.87631,0.01449,0.00343,-17.31485,6.82605,0.01192,0.00341,-0.00823,0.00347,1169.37970139655,1149.32367711169,1190.13479288242,14.0,2019
1622-0145271,294.29289,72.29968,0.01173,0.00472,-22.5,12.899999618530273,0.0083,0.00484,-0.00828,0.0046,1459.0,1419.0,1501.0,14.0,2016
IT_1628-0143154,294.29434,72.84944,0.0103,0.00184,-4.28522,5.35783,0.01018,0.00184,-0.00153,0.00193,1550.64874899226,1507.42934971547,1596.36777960978,14.01,2019
1618-0137823,295.33026,71.84967,0.01379,0.00507,-30.799999237060547,11.600000381469727,0.00655,0.00528,-0.01213,0.00501,970.0,956.0,985.0,14.01,2016
IT_1627-0144666,293.96628,72.78005,0.00982,0.00275,-27.70855,7.97124,0.00557,0.00271,-0.00808,0.00277,4628.20621026525,4319.38300019706,4981.88002684357,14.03,2019
IT_1629-0138598,294.42633,72.98182,0.01143,0.00429,-15.6464,10.82127,0.00976,0.00427,-0.00593,0.00433,740.130247793427,731.859674625254,748.586446730733,14.03,2019
IT_1621-0143795_b,294.4151,72.14499,0.02846,0.01787,-32.42753,17.79111,0.01209,0.01762,-0.02576,0.01792,2496.40288643431,2378.58217346122,2626.16580794802,14.03,2019
IT_1624-0141650,295.03128,72.45831,0.02302,0.0029,-29.79461,3.74767,0.01165,0.00307,-0.01985,0.00284,1359.86974332448,1333.51454244794,1387.26749411186,14.03,2019
IT_1621-0143795,294.4151,72.14499,0.01294,0.00353,-19.70995,7.89556,0.00999,0.00345,-0.00821,0.00364,2496.40288643431,2378.58217346122,2626.16580794802,14.03,2019
1622-0145334,294.42791,72.28987,0.01522,0.00615,-29.600000381469727,13.0,0.00779,0.00589,-0.01308,0.00624,1704.0,1660.0,1750.0,14.03,2016
IT_1627-0145383,295.38083,72.77509,0.01147,0.00202,-24.92491,5.02214,0.00739,0.00198,-0.00876,0.00206,4225.5576672306,3899.39445923921,4607.30121278397,14.04,2019
IT_1623-0141109,293.1973,72.35109,0.01374,0.00178,-20.50897,3.74718,0.01036,0.00175,-0.00901,0.00183,413.340769251306,410.814320868592,415.897923692619,14.05,2019
